All 132 accesspoints
                                 0 D            90 D           180 D           270 D        360 Spin
   00:24:6c:5e:c8:51           -84.9          -89.14          -83.93           -83.4           -84.1
   00:24:6c:5e:c8:52          -85.83          -88.97          -83.43           -85.7           -85.7
   00:24:6c:5e:c8:53          -86.57          -88.38           -84.2           -85.6          -86.73
   00:0f:66:8a:28:4a           -76.7          -74.13           -70.9          -74.67           -71.1
   00:24:6c:60:cb:a2          -89.94               -               -           -90.6           -90.0
   00:24:6c:60:cb:a0          -89.61               -               -               -               -
   00:24:6c:60:cb:a1           -93.0               -               -               -               -
   00:24:6c:5c:01:22           -66.4          -57.27          -68.07          -65.23          -68.73
   00:24:6c:5c:01:21          -68.07           -60.8          -67.97           -68.2          -65.03
   00:24:6c:d2:9a:20           -73.4          -73.27           -72.4           -72.6          -69.53
   00:24:6c:d2:9a:21           -73.7           -72.4          -74.97           -72.0          -68.27
   00:24:6c:d2:9a:22           -73.9          -73.93           -72.9          -71.83          -70.23
   00:24:6c:d2:9a:30           -62.2          -65.93          -66.73          -63.83          -65.37
   00:24:6c:60:ca:13          -89.25           -91.0           -89.0          -90.31           -88.0
   00:24:6c:60:ca:12           -91.1               -          -88.25          -89.44           -89.5
   00:24:6c:60:ca:11           -89.0               -          -89.25           -89.0          -87.58
   00:24:6c:60:ca:10           -89.0               -           -89.0           -89.0               -
   00:24:6c:d2:98:01           -86.5          -82.63          -78.75          -85.77          -81.33
   00:24:6c:d2:98:00               -          -81.55          -81.53          -85.67           -86.0
   00:24:6c:d2:98:02           -88.0          -81.68          -81.15          -84.95           -84.0
          Total Macs             119             107             116             118             121
Comparing 96 common mac addresses of 132 unique
                  0 D       90 D      180 D      270 D   360 Spin
0 D               0.0       6.32       6.85       3.05        4.0
90 D             6.32        0.0       0.52       3.27       2.32
180 D            6.85       0.52        0.0       3.79       2.85
270 D            3.05       3.27       3.79        0.0       0.95
360 Spin          4.0       2.32       2.85       0.95        0.0


Average Table:
       0.0       6.32       6.85       3.05        4.0
      6.32        0.0       0.52       3.27       2.32
      6.85       0.52        0.0       3.79       2.85
      3.05       3.27       3.79        0.0       0.95
       4.0       2.32       2.85       0.95        0.0
