All 182 accesspoints
                                 0 F             1 F             2 F             3 F         4 Other
   00:1a:1e:22:a8:f2               -               -               -               -          -89.74
   00:1a:1e:22:af:d0               -               -               -               -          -81.43
   00:1a:1e:22:af:d1               -               -               -               -          -81.83
   00:1a:1e:22:af:d2               -               -               -               -          -81.57
   00:24:6c:d2:9a:02          -82.92          -82.33          -82.93          -82.57           -80.0
   00:24:6c:d2:9a:00          -83.08          -79.24           -83.5          -83.04           -83.0
   00:24:6c:d2:9a:01          -83.07           -80.1          -83.93          -82.54           -82.0
   00:24:6c:60:ca:00           -84.5          -83.38          -78.39           -85.4           -86.0
   00:24:6c:ad:6b:18           -85.8          -86.35          -90.43           -87.0           -87.0
   00:24:6c:ad:6b:19          -87.88          -86.82          -88.08          -87.14           -88.0
   18:64:72:fb:42:61               -          -88.75           -91.0          -88.25               -
   18:64:72:fb:42:60               -           -90.0               -               -               -
   18:64:72:fb:42:62           -88.0           -89.2               -               -               -
   18:64:72:15:10:82           -81.1           -84.3          -82.73          -84.52          -86.63
   00:24:6c:5c:01:30          -76.37          -77.63           -76.0           -76.2           -79.0
   18:64:72:15:10:80           -82.0          -83.62          -83.24          -83.15          -86.95
   18:64:72:15:10:81           -83.4          -83.79          -83.77          -83.34           -88.4
   00:24:6c:d2:98:10           -88.8           -89.0          -89.11          -88.86           -88.0
   00:24:6c:5c:01:31          -76.03          -77.03          -76.13           -76.5           -78.0
   c8:d7:19:f4:9a:ad               -               -           -95.0           -92.0               -
   00:24:6c:60:ca:03          -83.83          -81.41          -78.66           -80.2           -80.0
   00:24:6c:5c:01:32           -76.4          -77.73          -76.13          -76.57           -79.0
   00:1a:1e:22:af:c1               -               -               -               -          -86.07
   00:24:6c:5c:02:f2          -79.77           -80.1          -78.27           -78.4          -83.97
   00:1a:1e:22:af:c2               -               -               -               -          -86.04
   00:24:6c:5e:c8:43           -85.6           -87.5           -81.0          -81.97          -79.13
   00:1a:1e:22:aa:22               -               -               -               -          -74.07
   00:1a:1e:22:aa:21               -               -               -               -           -74.1
   00:1a:1e:22:aa:20               -               -               -               -           -77.5
   00:24:6c:60:cc:d2           -76.4          -77.21           -79.2          -75.53           -63.7
   00:24:6c:60:cc:d0           -76.2          -77.24          -76.97          -75.77           -63.8
   00:24:6c:60:cc:d1          -76.41          -77.43          -76.69           -75.4           -63.1
   00:24:6c:60:d1:b1               -               -               -               -          -86.87
   00:24:6c:60:d1:b0               -               -               -               -           -87.0
   00:24:6c:d2:9a:31          -59.27          -61.43          -63.43          -63.23          -81.23
   00:24:6c:60:d1:b2               -               -               -               -           -86.6
   00:1a:1e:22:a7:c2               -               -               -               -          -83.27
   00:24:6c:60:c9:b0               -               -           -90.0               -               -
   18:64:72:fb:42:72           -89.5          -86.81          -87.33          -87.33           -91.0
   18:64:72:fb:42:70           -88.8           -90.0          -86.56           -89.0               -
   18:64:72:fb:42:71          -89.32          -86.68          -88.27           -88.7           -89.0
   00:24:6c:5c:02:e2          -74.33          -70.07           -68.8          -65.83          -76.33
   00:24:6c:5c:02:e1          -73.67           -67.8          -70.47           -66.7           -77.4
   00:24:6c:5c:02:e0          -72.67          -67.83           -68.9          -65.87           -76.9
   00:24:6c:d2:9a:30           -59.5          -62.93          -63.93          -63.47          -81.97
   00:1a:1e:22:aa:30               -               -               -               -          -75.93
