All 89 accesspoints
                             2 Pulls        10 Pulls        30 Pulls        60 Pulls       100 Pulls
   00:24:6c:5c:02:30          -86.67          -85.27          -85.35          -84.46          -84.56
   00:24:6c:5c:02:32          -86.33          -85.27          -85.26          -84.43          -84.51
   00:24:6c:ad:6b:1a           -88.0           -88.0           -88.0           -88.0           -88.0
   68:7f:74:ca:6d:7d          -78.33          -78.45          -77.94          -80.39          -80.33
   00:24:6c:d2:99:42               -               -           -92.0           -91.5           -91.5
   00:24:6c:d2:99:43           -85.0           -85.0           -89.8          -90.14          -90.14
   00:12:17:b0:68:ca          -60.33          -62.27          -62.39          -63.28          -63.85
   00:12:17:b0:68:cd          -89.33          -89.45          -88.23          -86.54          -86.37
   00:24:6c:5e:c5:80           -87.0          -86.67           -88.0           -88.4           -88.5
   00:24:6c:5e:c5:81          -86.67          -85.73          -86.36          -87.98           -88.6
   00:24:6c:5e:c5:82           -87.0          -86.45          -87.35          -88.51          -89.09
   00:24:6c:5e:c5:83           -86.0          -86.18           -87.4          -88.71          -88.96
   00:24:6c:5c:02:22               -               -           -86.5          -85.28          -86.03
   00:24:6c:5c:02:20               -           -87.0          -87.81          -85.98          -86.56
   00:24:6c:5c:02:21               -           -86.0          -86.24          -85.37          -86.22
   00:24:6c:d2:99:53           -92.0           -92.0           -92.0           -92.0           -92.0
   48:f8:b3:40:11:ba           -50.0          -75.33          -82.57          -86.71          -86.22
   00:24:6c:d2:99:72               -           -92.0          -91.22          -91.31          -91.19
   00:24:6c:d2:99:71               -           -92.0          -91.67          -91.13          -91.15
   00:24:6c:d2:99:70               -               -               -          -90.81          -90.65
   00:24:6c:5e:c7:21           -76.0          -76.36          -77.84          -78.39          -78.57
   00:24:6c:d2:9a:11           -89.0           -89.0           -89.0           -89.0           -89.0
   00:24:6c:d2:9a:12           -90.0           -90.0           -90.0           -90.0           -90.0
   18:64:72:15:10:91           -70.0           -70.0           -70.0           -70.0           -70.0
   18:64:72:15:10:90           -69.0           -69.0           -69.0           -69.0           -69.0
   18:64:72:15:10:92           -70.0           -70.0           -70.0           -70.0           -70.0
   00:24:6c:d2:99:60           -76.0           -76.0           -76.0           -76.0           -76.0
   00:24:6c:d2:99:61           -75.0           -75.0           -75.0           -75.0           -75.0
   00:24:6c:d2:99:62           -74.0           -74.0           -74.0           -74.0           -74.0
   00:24:6c:d2:9a:02           -82.0           -82.0           -82.0           -82.0           -82.0
   00:24:6c:d2:9a:00           -83.0           -83.0           -83.0           -83.0           -83.0
   00:24:6c:d2:9a:01           -82.0           -82.0           -82.0           -82.0           -82.0
   00:24:6c:ad:6b:19           -88.0           -88.0           -88.0           -88.0           -88.0
   18:64:72:fb:42:61           -70.0          -68.64          -66.48          -65.69          -67.27
   18:64:72:fb:42:60          -70.33          -68.64          -66.58          -66.02          -67.51
   18:64:72:fb:42:62           -69.0          -68.45          -66.61          -65.92          -67.41
   00:24:6c:5c:02:f2           -81.0           -81.0           -81.0           -81.0           -81.0
   00:24:6c:5c:01:30           -75.0           -75.0           -75.0           -75.0           -75.0
   00:24:6c:5c:02:f0           -81.0           -81.0           -81.0           -81.0           -81.0
   00:24:6c:5c:02:f1           -81.0           -81.0           -81.0           -81.0           -81.0
   00:24:6c:5c:01:31           -75.0           -75.0           -75.0           -75.0           -75.0
   00:24:6c:5c:01:32           -75.0           -75.0           -75.0           -75.0           -75.0
   00:24:6c:60:cc:d2           -75.0           -75.0           -75.0           -75.0           -75.0
   00:24:6c:60:cc:d0           -76.0           -76.0           -76.0           -76.0           -76.0
   00:24:6c:60:cc:d1           -76.0           -76.0           -76.0           -76.0           -76.0
   00:24:6c:5c:01:22           -69.0           -69.0           -69.0           -69.0           -69.0
   00:24:6c:5c:01:21           -68.0           -68.0           -68.0           -68.0           -68.0
   00:24:6c:d2:9a:30           -69.0           -69.0           -69.0           -69.0           -69.0
   18:64:72:fb:42:72          -66.67          -66.36          -66.03          -66.39          -66.57
   18:64:72:fb:42:70           -67.0          -66.55          -66.23           -66.8          -67.01
   18:64:72:fb:42:71           -67.0          -66.45           -65.9          -66.31          -66.54
